date,r
1/20/21,0.05
1/21/21,0.05
1/22/21,0.05
1/25/21,0.05
1/26/21,0.05
1/27/21,0.05
1/28/21,0.05
1/29/21,0.05
2/1/21,0.05
2/2/21,0.05
2/3/21,0.05
2/4/21,0.05
2/5/21,0.05
2/8/21,0.05
2/9/21,0.05
2/10/21,0.05
2/11/21,0.05
2/12/21,0.05
2/16/21,0.05
2/17/21,0.05
2/18/21,0.05
2/19/21,0.05
2/22/21,0.05
2/23/21,0.05
2/24/21,0.05
2/25/21,0.05
2/26/21,0.05
3/1/21,0.05
3/2/21,0.05
3/3/21,0.05
3/4/21,0.05
3/5/21,0.05
3/8/21,0.05
3/9/21,0.05
3/10/21,0.05
3/11/21,0.05
3/12/21,0.05
3/15/21,0.05
3/16/21,0.05
3/17/21,0.05
3/18/21,0.05
3/19/21,0.05
3/22/21,0.05
3/23/21,0.05
3/24/21,0.05
3/25/21,0.05
3/26/21,0.05
3/29/21,0.05
3/30/21,0.05
3/31/21,0.05
4/1/21,0.05
4/5/21,0.05
4/6/21,0.05
4/7/21,0.05
4/8/21,0.05
4/9/21,0.05
4/12/21,0.05
4/13/21,0.05
4/14/21,0.05
4/15/21,0.05
4/16/21,0.05
4/19/21,0.05
4/20/21,0.05
4/21/21,0.05
4/22/21,0.05
4/23/21,0.05
4/26/21,0.05
4/27/21,0.05
4/28/21,0.05
4/29/21,0.05
4/30/21,0.05
5/3/21,0.05
5/4/21,0.05
5/5/21,0.05
5/6/21,0.05
5/7/21,0.05
5/10/21,0.05
5/11/21,0.05
5/12/21,0.05
5/13/21,0.05
5/14/21,0.05
5/17/21,0.05
5/18/21,0.05
5/19/21,0.05
5/20/21,0.05
5/21/21,0.05
5/24/21,0.05
5/25/21,0.05
5/26/21,0.05
5/27/21,0.05
5/28/21,0.05
6/1/21,0.05
6/2/21,0.05
6/3/21,0.05
6/4/21,0.05
6/7/21,0.05
6/8/21,0.05
6/9/21,0.05
6/10/21,0.05
6/11/21,0.05
6/14/21,0.05
6/15/21,0.05
6/16/21,0.05
6/17/21,0.05
6/18/21,0.05
6/21/21,0.05
6/22/21,0.05
6/23/21,0.05
6/24/21,0.05
6/25/21,0.05
6/28/21,0.05
6/29/21,0.05
6/30/21,0.05
7/1/21,0.05
7/2/21,0.05
7/6/21,0.05
7/7/21,0.05
7/8/21,0.05
7/9/21,0.05
7/12/21,0.05
7/13/21,0.05
7/14/21,0.05
7/15/21,0.05
7/16/21,0.05
7/19/21,0.05
7/20/21,0.05
7/21/21,0.05
7/22/21,0.05
7/23/21,0.05
7/26/21,0.05
